ICD-10-PCS代碼,健保醫令碼
009B3ZZ,83015C
009B3ZZ,83039B
009B3ZZ,83051B
009B3ZZ,83082B
009B40Z,83015C
009B40Z,83039B
009B40Z,83051B
009B40Z,83082B
009B4ZZ,83015C
009B4ZZ,83039B
009B4ZZ,83051B
009B4ZZ,83082B
009C00Z,83015C
009C00Z,83039B
009C00Z,83051B
009C00Z,83082B
009C0ZX,83010B
009C0ZX,83051B
009C0ZX,83081B
009C0ZX,83082B
009C0ZZ,83015C
009C0ZZ,83039B
009C0ZZ,83051B
009C0ZZ,83082B
009C30Z,83015C
009C30Z,83039B
009C30Z,83051B
009C30Z,83082B
009C3ZZ,83015C
009C3ZZ,83039B
009C3ZZ,83051B
009C3ZZ,83082B
009C40Z,83015C
009C40Z,83039B
009C40Z,83051B
009C40Z,83082B
009C4ZZ,83015C
009C4ZZ,83039B
009C4ZZ,83051B
009C4ZZ,83082B
009D00Z,83015C
009D00Z,83039B
009D00Z,83051B
009D00Z,83082B
009D0ZX,83010B
009D0ZX,83051B
009D0ZX,83081B
009D0ZX,83082B
009D0ZZ,83015C
009D0ZZ,83039B
009D0ZZ,83051B
009D0ZZ,83082B
009D30Z,83015C
009D30Z,83039B
009D30Z,83051B
009D30Z,83082B
009D3ZZ,83015C
009D3ZZ,83039B
009D3ZZ,83051B
009D3ZZ,83082B
009D40Z,83015C
009D40Z,83039B
009D40Z,83051B
009D40Z,83082B
009D4ZZ,83015C
009D4ZZ,83039B
009D4ZZ,83051B
009D4ZZ,83082B
009F00Z,83028C
009F00Z,83029C
009F00Z,83082B
009F0ZX,83082B
009F0ZZ,83028C
009F0ZZ,83029C
009F0ZZ,83082B
009F30Z,83028C
009F30Z,83029C
009F30Z,83082B
009F3ZZ,83028C
009F3ZZ,83029C
009F3ZZ,83082B
009F40Z,83028C
009F40Z,83029C
009F40Z,83082B
009F4ZZ,83028C
009F4ZZ,83029C
009F4ZZ,83082B
009G00Z,83028C
009G00Z,83029C
009G00Z,83082B
009G0ZX,83082B
009G0ZZ,83028C
009G0ZZ,83029C
009G0ZZ,83082B
009G30Z,83028C
009G30Z,83029C
009G30Z,83082B
009G3ZZ,83028C
009G3ZZ,83029C
009G3ZZ,83082B
009G40Z,83028C
009G40Z,83029C
